benchmark,leaderboard_rank,model_name,leaderboard_budget_field,leaderboard_budget_value,public_token_value,public_token_unit,public_token_note,report_token_value_used_for_tpm,report_token_unit_used_for_tpm,token_disclosure_status,encoding_note,tpm_estimate_from_report,source_reference,source_reference_note
LongVideoBench,11,TimeMarker,max_frames,128,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[418.1, 1672.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,12,GPT-4o-mini,max_frames,250,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,"[816.7, 3266.7]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,13,MiniCPM-V-2.6,max_frames,64,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,"[209.1, 836.3]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,14,Qwen2-VL-7B,max_frames,256,256-1024,tokens/image (docs example; not fixed video/frame),"Qwen2-VL docs describe Naive Dynamic Resolution, M-ROPE, and an example range of 256-1024 tokens per image depending on min/max pixels. No fixed leaderboard video token count is public.",196,tokens/frame,dynamic_public_no_fixed_video_token_count,"Dynamic-resolution model; docs expose a token range for image settings, but not a single fixed tokens/frame value for this leaderboard run.","[836.3, 3345.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/qwen2_vl ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,"Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: Official docs describe dynamic resolution, M-ROPE, and a 256-1024 tokens/image example; no fixed public video tokens/frame for leaderboard run. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf"
LongVideoBench,15,Kangaroo,max_frames,64,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,"[209.1, 836.3]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,16,PLLaVA-34B,max_frames,32,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[104.5, 418.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,17,InternVL-Chat-V1-5-26B,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,18,LLaVA-Next-Video-34B,max_frames,32,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[104.5, 418.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,19,Phi-3-Vision-Instruct,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,20,Idefics2,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,21,Mantis-Idefics2,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,22,LLaVA-Next-Mistral-7B,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,23,PLLaVA-13B,max_frames,32,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[104.5, 418.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,24,InstructBLIP-T5-XXL,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,25,Mantis-BakLLaVA,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,26,BLIP-2-T5-XXL,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,27,LLaVA-Next-Video-M7B,max_frames,32,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[104.5, 418.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,28,LLaVA-1.5-13B,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Older LLaVA family entry; no fixed public video token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,29,ShareGPT4Video,max_frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[52.3, 209.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,30,VideoChat2 (Mistral-7B),max_frames,16,96,tokens/video,MVBench supplementary Table 10 lists QFormer token=96 for Stage2/3; report treats this as 96 tokens/video.,96,tokens/video,public_fixed_tokens_per_video,UMT-L visual encoder + QFormer compression; public hyperparameters expose 96 QFormer tokens in later stages.,"[1.6, 6.4]",https://longvideobench.github.io/ ; https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_MVBench_A_Comprehensive_CVPR_2024_supplemental.pdf ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: MVBench supplementary Table 10 exposes QFormer token=96 in Stage2/3. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,31,LLaVA-1.5-7B,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Older LLaVA family entry; no fixed public video token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,32,mPLUG-Owl2,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
